product_id,image_id
1444,1343
586,72
369,1053
57,534
1636,1064
1990,1073
900,1257
463,1607
1960,983
801,548
659,1043
1378,19
813,1731
1133,951
931,633
1660,185
652,1270
119,60
830,1709
1255,1000
61,1360
273,471
516,1882
1212,1718
1295,1903
1654,238
1192,325
1577,1527
528,841
1298,1134
1240,410
577,1431
9,733
1879,1295
513,1146
1083,1019
245,1956
1573,864
1215,1304
1909,120
610,968
818,1679
125,1729
194,569
756,980
1714,877
763,136
1125,1069
1984,1098
315,1735
1322,647
159,1013
786,1976
1544,931
1373,1943
1818,435
1013,1558
1265,1070
1417,451
1014,1721
250,1831
1024,715
1591,1954
754,1893
520,1082
370,1938
1704,974
1014,35
94,868
1297,1863
1171,280
1867,1382
1985,181
1898,1347
1094,1505
279,736
877,1818
931,14
946,780
738,1250
1976,1127
132,432
1370,566
1152,75
62,301
1728,1792
631,1611
1506,429
58,1320
1824,1767
754,1012
1649,1404
1559,1853
430,422
564,581
134,1015
76,1869
897,616
811,1405
1334,202
20,722
549,1314
1441,507
441,1104
1417,740
605,607
706,767
227,1436
1521,1786
416,1555
1603,1098
1558,862
1795,878
1156,1235
793,1559
1672,425
621,13
644,1192
1503,813
796,421
1780,1303
1299,1834
1919,75
299,1960
920,1813
719,1920
1726,1007
1591,1028
1831,73
1056,83
1484,1536
1756,1304
1039,1125
889,991
1866,570
1789,163
173,1998
1255,906
277,1305
1500,984
1310,652
546,1798
1946,650
1884,1698
1334,894
891,548
454,1250
1890,1306
663,1463
1012,1057
1950,1785
795,1365
294,1729
625,596
440,440
915,1214
606,209
1050,443
1779,1336
1661,642
1649,379
414,1589
947,1168
1101,803
856,1006
1903,1065
930,1865
1648,231
269,89
246,1977
688,142
197,703
1363,155
111,1078
425,275
1107,1551
285,1096
1711,1643
360,77
252,909
211,723
518,658
1212,125
445,1118
59,37
585,12
1014,242
419,96
1050,1442
1874,887
1119,1767
1577,141
1434,1980
1295,116
279,470
18,228
1005,156
918,1416
708,275
1521,1056
466,52
1531,438
349,541
1037,1056
370,143
67,752
1115,410
1584,764
346,1854
1092,1567
326,107
1020,1444
1000,399
44,1551
941,1153
1920,725
1254,1051
425,194
268,585
883,943
1516,532
1586,1491
1521,1144
1106,794
1805,1129
1500,1597
567,242
1552,1779
1242,827
1280,585
639,1303
924,364
755,1818
645,513
1084,947
1131,625
536,1933
1080,449
1825,717
1342,648
432,1141
1988,1596
1139,899
1047,1707
1367,1398
518,760
1836,1136
561,1493
1768,745
380,828
838,1311
192,1979
955,588
312,970
1639,932
1945,1338
835,953
890,449
1258,1533
888,1839
1565,1066
1920,530
1561,907
58,1961
205,1681
1493,270
904,927
1357,1048
476,1387
699,1283
202,1434
596,373
1495,1407
997,1910
263,701
1662,1588
854,1666
710,1309
1512,2
743,972
650,671
586,1166
746,874
498,717
676,218
1175,1918
1860,1541
963,271
1782,1530
132,533
535,1748
1936,636
440,448
397,477
1621,86
1793,8
1291,1193
1527,1547
1300,372
760,357
1766,558
668,82
941,439
496,825
1600,1812
477,1911
1328,1787
832,781
1239,199
1729,1848
1029,1984
770,1525
995,1445
32,1362
247,918
16,1335
1846,179
300,1850
1419,1369
1873,1175
1098,34
1805,907
1942,1641
1173,158
1177,413
1648,1244
212,1665
1812,1356
46,1304
1677,188
1737,60
624,1581
1336,1727
1333,243
1539,1362
1012,400
1672,1020
1175,545
660,1057
557,936
401,274
1654,1504
291,582
397,215
119,1098
726,1455
964,721
919,1155
1972,1442
1537,1950
1651,1439
990,959
862,1612
1609,77
1475,822
1296,1019
931,974
1556,1793
621,1026
410,1207
1888,1160
1663,1658
1148,911
920,645
1061,451
212,1081
839,1148
787,1252
984,1805
1590,413
745,1868
1777,751
1225,814
227,1586
726,513
1755,923
1163,1878
494,411
1009,1191
164,249
919,561
750,1524
645,1715
965,560
42,1897
1779,173
759,1888
275,1242
1003,920
911,296
286,1367
34,826
1943,1396
179,1261
1307,1817
1602,1669
395,346
1650,815
387,1084
846,409
172,187
253,1459
988,536
1137,1033
664,1029
466,696
866,1943
656,842
1218,58
1613,1773
1726,381
1684,1523
1822,648
932,566
348,456
1443,562
343,1737
544,396
1877,751
286,438
116,533
1986,1145
1362,259
1011,1133
736,1601
574,973
1628,1737
1414,1200
1061,1527
1581,518
337,825
5,1978
154,107
1559,1879
168,1530
691,434
482,263
970,1160
997,1070
1095,1098
1978,1773
296,1667
744,1994
737,361
167,469
1556,1480
585,1014
345,460
167,1323
1114,1425
42,161
947,919
1355,1486
1508,1627
1084,1632
197,865
1787,1590
317,778
1407,289
759,328
1535,327
761,1664
1634,978
1717,806
289,1378
805,516
137,1664
1907,1781
1791,258
1175,1643
1554,1362
1614,666
1070,409
923,1081
376,988
402,1705
1188,1184
482,242
169,1923
806,474
1887,757
182,134
1879,944
1451,1596
1964,1476
276,764
1012,1112
886,1860
1493,1511
879,1084
1393,1493
1254,1983
1213,1320
1265,1996
298,992
1241,1503
907,39
1767,1316
601,830
626,1014
543,314
787,1703
1280,1225
1736,1191
681,64
716,535
1083,1780
654,432
899,633
637,689
811,1190
1977,106
1046,1687
388,303
1820,234
551,1829
506,447
109,1601
316,1463
468,1871
1914,353
409,657
1464,711
600,805
677,765
1778,36
396,88
1757,1935
1569,205
1730,1666
1801,135
1027,1303
1802,1273
924,211
1483,1962
683,1688
1322,232
123,1174
1778,1741
1356,256
1035,204
181,1151
683,127
1644,1015
1758,1856
1149,1692
1734,1091
1842,1831
294,790
1754,1253
1472,1492
926,611
1259,1134
1770,1951
1036,1499
1453,282
1650,1229
1642,1605
1729,602
1073,1775
67,359
1629,798
1478,234
453,873
844,2
99,383
1653,672
1998,1135
463,541
1049,919
1749,1954
854,607
1199,41
216,692
