product_category,product_name,product_short_desc,product_ad_desc,product_price,product_color,product_age,product_avg_rev
Kitchen,FRIHETEN,ullam omnis excepturi,Est nostrum repellendus ea sit perferendis.,631,Bomstad black,4,3
Lobby,FRIHETEN,delectus itaque sit,Labore reiciendis dicta id porro.,647,Skiftebo dark gray,2,4
Bed room,EKEBOL,praesentium sed distinctio,Est numquam dolorem excepturi in temporibus est molestiae voluptatem.,324,black,22,2
Lobby,EKEBOL,libero aspernatur nihil,Consequatur voluptas deleniti voluptas delectus.,551,pink,28,2
Bed room,BALKARP,aut et repellat,Sapiente repellat et facere at est facere.,285,white,9,1
Living room,FRIHETEN,necessitatibus enim perferendis,Corrupti qui molestiae commodi ut explicabo ut.,31,white,7,3
Kitchen,DELAKTIG,ea aut corporis,Et magni tenetur non sit repudiandae sint non.,308,black,21,2
Rest room,BRATHULT,necessitatibus repellendus voluptate,Tempore laboriosam libero.,291,gray,9,4
Bed room,FRIHETEN,provident exercitationem animi,Impedit sunt tempora et nihil atque cupiditate.,480,navy,7,5
Kitchen,BALKARP,nihil qui deleniti,Accusantium molestiae autem.,519,white,18,1
Rest room,DELAKTIG,dolorem adipisci quia,Aut libero sapiente dolores ut perferendis.,459,original red,20,5
Lobby,FRIHETEN,dignissimos inventore porro,Neque beatae architecto tenetur rem ex voluptas nihil esse.,384,white,3,3
Living room,BRATHULT,expedita commodi distinctio,Aut in eligendi blanditiis.,651,Bomstad black,10,1
Lobby,BRATHULT,et et iure,Qui autem itaque.,630,black,24,4
Kitchen,DELAKTIG,voluptates et voluptate,Modi perspiciatis veniam voluptatum non suscipit hic provident rerum.,34,Skiftebo dark gray,13,3
Rest room,FRIHETEN,nobis quo et,Occaecati consequatur quod facere adipisci nisi qui iusto sunt magnam.,213,Bomstad black,12,3
Kitchen,EKEBOL,iure dolorem fugit,Nam temporibus vero tempora non eum odit nihil quos.,24,blue,20,5
Lobby,DELAKTIG,enim assumenda vero,Iste assumenda suscipit ut cumque.,305,Skiftebo dark gray,26,3
Bed room,DELAKTIG,perspiciatis optio veniam,Praesentium est repellendus dicta vitae aut.,274,black,8,1
Lobby,BALKARP,sunt tempore quidem,Aut quia non laborum repellendus ea.,210,Skiftebo dark gray,19,3
Lobby,BRATHULT,enim voluptates aperiam,At rerum eius quas facilis corporis quaerat nostrum voluptate deserunt.,432,Skiftebo blue,17,2
Living room,FRIHETEN,quibusdam rerum eveniet,Officiis et voluptatem deserunt totam itaque ipsum id doloribus et.,162,Skiftebo blue,22,3
Living room,DELAKTIG,maxime eaque dolor,Aut sapiente dolor maiores.,544,Hyllie dark gray,30,5
Living room,DELAKTIG,doloribus sequi doloribus,Sunt totam doloribus iusto et explicabo.,262,Hyllie dark gray,5,5
Rest room,EKEBOL,neque pariatur maiores,Doloribus dicta optio odio commodi earum a labore.,96,Skiftebo dark gray,18,4
Living room,DELAKTIG,numquam ducimus amet,Aut quis quo natus.,61,gray,4,5
Kitchen,DELAKTIG,harum voluptas ex,Sint totam nemo veritatis excepturi.,84,original red,18,2
Lobby,EKEBOL,molestiae a et,Quisquam est molestiae numquam dolorem doloremque.,590,Hyllie beige,8,5
Rest room,BRATHULT,eum rerum atque,Accusantium aut voluptatem autem perferendis iusto magnam eos blanditiis fuga.,114,red,18,1
Living room,FRIHETEN,soluta necessitatibus tempora,Occaecati harum dolor modi quia.,323,Hyllie dark gray,9,2
Kitchen,BRATHULT,necessitatibus temporibus est,Quo sapiente ut alias dolores facilis aperiam.,367,original red,23,3
Bed room,BRATHULT,sequi nesciunt fugiat,Facere quo sed aut dolore provident.,546,Hyllie dark gray,2,1
Bed room,EKEBOL,officia sint incidunt,Consequatur nobis ratione sed et ipsum repellat.,166,navy,1,1
Kitchen,EKEBOL,animi corporis cum,Aut sed qui officia quasi placeat voluptates a esse odit.,258,Bomstad black,26,2
Rest room,BALKARP,omnis non qui,Id illum ipsum.,526,pink,15,2
Living room,BALKARP,nisi quod magni,Eaque quae earum tenetur perferendis sequi aperiam dolores sapiente.,318,Hyllie beige,13,4
Living room,EKEBOL,minima hic in,Consequatur quo voluptas earum quae fugiat.,631,Hyllie dark gray,22,4
Kitchen,DELAKTIG,aut possimus suscipit,Accusamus voluptates voluptatum.,555,white,9,4
Kitchen,FRIHETEN,id officiis aut,Quos harum et culpa et.,635,gray,9,4
Bed room,FRIHETEN,architecto vitae excepturi,Est laborum sed cumque recusandae totam culpa.,110,Skiftebo dark gray,30,1
Living room,BRATHULT,reprehenderit iste ratione,Et molestiae quod tempore.,362,black,20,2
Rest room,BRATHULT,est repellendus repudiandae,Rerum laudantium velit enim aut et accusantium laboriosam distinctio.,186,Hyllie beige,15,5
Bed room,BALKARP,optio quod aut,Libero impedit velit reprehenderit vel voluptatum quam illo qui.,635,white,16,1
Living room,FRIHETEN,nemo adipisci molestiae,Sit fuga omnis corporis.,58,navy,9,2
Kitchen,BRATHULT,doloremque vero quam,Sunt laudantium impedit at ducimus inventore quae aut provident.,290,original red,10,3
Bed room,DELAKTIG,vel alias qui,Omnis deleniti laborum alias aliquid nisi unde beatae dignissimos.,496,Bomstad black,27,4
Lobby,BRATHULT,fugit saepe suscipit,In qui exercitationem ratione ipsum sapiente dolor consequatur non ad.,400,navy,16,5
Rest room,FRIHETEN,saepe molestiae vel,Eius ipsa reprehenderit et.,578,original red,13,2
Bed room,BALKARP,et exercitationem necessitatibus,Perspiciatis non autem cumque aut.,374,navy,23,4
Living room,EKEBOL,animi reiciendis nihil,Et facilis enim magnam rerum eum.,609,gray,4,5
Kitchen,EKEBOL,ipsum sed consequatur,Molestias quia possimus velit est.,135,Hyllie beige,22,1
Lobby,BALKARP,aspernatur velit quis,Possimus ullam repudiandae assumenda.,28,Skiftebo dark gray,23,5
Kitchen,BRATHULT,vel minus quo,Dignissimos aspernatur dolor voluptas reprehenderit id.,259,navy,2,5
Bed room,BRATHULT,animi voluptates dolore,Perferendis illo ut sed dolorem officia quia quaerat molestiae.,216,Skiftebo blue,24,4
Lobby,DELAKTIG,suscipit eos asperiores,Molestiae cum quisquam saepe.,465,white,29,2
Kitchen,EKEBOL,distinctio porro distinctio,Ratione fugiat provident.,539,original red,3,5
Rest room,EKEBOL,rerum dolorum consequatur,Tempore est soluta nemo reprehenderit saepe modi suscipit ea.,200,Skiftebo dark gray,22,5
Living room,BRATHULT,a quia velit,Quae provident nihil sunt alias adipisci architecto adipisci natus.,16,pink,7,5
Rest room,EKEBOL,eaque quia autem,Et quia deserunt occaecati rerum vero laboriosam quibusdam quidem rerum.,339,black,24,4
Lobby,BRATHULT,deleniti quo sit,Illum voluptate dolorem omnis est qui molestiae enim voluptatibus.,273,Bomstad black,19,1
Living room,BRATHULT,nemo odit vitae,Non iste libero vitae est eaque impedit ut quia.,274,red,4,4
Rest room,EKEBOL,molestiae sit nihil,Dolore fugiat molestiae sapiente aut minus deleniti consequatur omnis.,27,Skiftebo blue,22,2
Lobby,BALKARP,eos eum consequatur,Nam eligendi ut cupiditate.,96,white,19,2
Bed room,EKEBOL,assumenda repudiandae animi,Praesentium autem perferendis iusto voluptatem nam quos dicta.,383,Skiftebo blue,4,5
Rest room,BRATHULT,eaque dolorem asperiores,Tenetur doloribus voluptates non animi.,390,red,12,4
Living room,FRIHETEN,eveniet eum quia,Aut dolore eum atque voluptate quia perferendis et inventore voluptatibus.,28,pink,18,5
Living room,BRATHULT,omnis temporibus blanditiis,Voluptatem vel repellat sit nulla sunt tempore.,417,Hyllie dark gray,19,4
Lobby,BRATHULT,aliquid omnis atque,Aut repellendus porro.,149,Hyllie dark gray,30,5
Kitchen,DELAKTIG,perferendis iste illo,Debitis tenetur sed cumque est.,622,blue,10,4
Living room,BALKARP,veniam rem aut,Ea sint rerum ab ad et velit alias fugit.,264,navy,4,4
Lobby,DELAKTIG,est corporis ab,Numquam possimus eveniet laudantium eius ut tempore mollitia.,431,Skiftebo dark gray,11,1
Living room,BRATHULT,veniam nam eos,Nihil tenetur eum.,202,black,5,2
Lobby,BRATHULT,cupiditate amet fuga,Maiores et quia deleniti in et voluptate enim.,189,pink,23,3
Kitchen,BRATHULT,numquam autem dolore,Debitis quo rerum dolor reprehenderit maxime.,135,Skiftebo blue,29,3
Lobby,BRATHULT,quidem et omnis,Est a dignissimos itaque porro qui aut.,401,original red,24,3
Rest room,BALKARP,tenetur omnis qui,Eaque facere est.,215,red,12,2
Bed room,DELAKTIG,et inventore voluptatem,Minima repellendus expedita hic quam reiciendis possimus repellat.,383,gray,7,5
Bed room,EKEBOL,sit ratione quo,Commodi iusto veniam.,224,Skiftebo blue,18,1
Rest room,DELAKTIG,occaecati illo nihil,Alias nihil aut voluptas possimus.,390,Hyllie dark gray,27,3
Lobby,FRIHETEN,molestiae sed ullam,Blanditiis delectus nulla ut accusantium et corporis.,61,original red,30,2
Bed room,DELAKTIG,alias hic debitis,Iste nesciunt soluta rem facilis reiciendis fuga itaque minus.,235,original red,24,4
Kitchen,BALKARP,non ad ut,Iste recusandae ut porro.,315,navy,12,2
Bed room,EKEBOL,magni eum laborum,Eaque id doloremque odio reiciendis excepturi nulla placeat et.,314,navy,2,5
Lobby,DELAKTIG,sapiente molestias dolores,Aut excepturi optio facere qui aperiam soluta eum veritatis.,466,red,22,4
Lobby,BRATHULT,ex occaecati consequatur,Rerum fuga maiores et quia eligendi.,217,Skiftebo blue,7,4
Lobby,BRATHULT,qui dolorem aut,Quas eum ipsa fugit deserunt repellendus est nam eos consequatur.,472,Skiftebo dark gray,18,5
Kitchen,DELAKTIG,quia natus sed,Repellendus voluptas quibusdam.,305,Hyllie dark gray,4,1
Rest room,BALKARP,asperiores corporis minus,Laboriosam dolor voluptates quas eos.,144,Bomstad black,12,3
Bed room,FRIHETEN,magnam et aperiam,Ipsa commodi voluptatem exercitationem odit nihil officia animi tempora ut.,398,navy,3,2
Living room,BALKARP,excepturi a cumque,Fuga sapiente debitis quasi voluptatem incidunt enim reiciendis voluptatem.,263,black,28,5
Rest room,BRATHULT,perferendis odio sit,Omnis molestiae dicta animi iste praesentium et suscipit.,156,Skiftebo blue,27,4
Lobby,EKEBOL,praesentium iusto nulla,Ut sapiente quia occaecati architecto consequuntur nostrum reiciendis quo.,65,red,19,5
